year,month,pc1_hf,SP500_hf,MP_pm,CBI_pm,MP_median,CBI_median
1990,2,-0.00048198,-0.1519,-0,-0.00048198,0.00874278,-0.00922476
1990,3,-0.02675571,-0.17591,-0,-0.02675571,-0.00297407,-0.02378164
1990,4,0,0,0,0,0,0
1990,5,-0.0119147,0.05109,-0.0119147,-0,-0.00897895,-0.00293575
1990,6,0,0,0,0,0,0
1990,7,-0.07033472,0.03229,-0.07033472,0,-0.03707708,-0.03325764
1990,8,0,0.19733,0,0,-0.01167062,0.01167062
1990,9,0,0,0,0,0,0
1990,10,-0.01138917,-0.64347,-0,-0.01138917,0.03236195,-0.04375112
1990,11,0.00449684,-0.34311,0.00892356,-0.00442672,0.02254087,-0.01804403
1990,12,-0.14684142,0.83762,-0.1662811,0.01943968,-0.12295979,-0.02388163
1991,1,-0.1247271,0.36169,-0.1247271,-0,-0.08375486,-0.04097224
1991,2,-0.12434585,-0.00101000000000001,-0.0590637,-0.06528215,-0.06211319,-0.06223266
1991,3,-0.10242243,0.60768,-0.10242243,-0,-0.08715103,-0.0152714
1991,4,-0.18635873,0.63409,-0.18635873,0,-0.13068114,-0.05567759
1991,5,0.00261455,-0.24255,0.00261455,0,0.01565233,-0.01303778
1991,6,0,0,0,0,0,0
1991,7,0.01251608,-0.00533,0.01251608,0,0.00657327,0.00594281
1991,8,-0.08980968,0.48297,-0.14114492,0.05133524,-0.07346897,-0.01634071
1991,9,0.00233991,-0.02151,0.00233991,0,0.00244211,-0.0001022
1991,10,-0.02049061,-0.01814,-0.02049061,0,-0.00917245,-0.01131816
1991,11,-0.09976406,0.0746,-0.11402382,0.01425976,-0.05429407,-0.04546999
1991,12,-0.27571226,0.36832,-0.3247444,0.04903214,-0.15963956,-0.1160727
1992,1,0,0,0,0,0,0
1992,2,0.00457179,0.03621,0,0.00457179,0.00014434,0.00442745
1992,3,0,0,0,0,0,0
1992,4,-0.25893526,0.61127,-0.25893526,0,-0.16561977,-0.09331549
1992,5,0.01238169,-0.04802,0.01238169,0,0.00903088,0.00335081
1992,6,0,0,0,0,0,0
1992,7,-0.07221606,0.22288,-0.07221606,-0,-0.04928975,-0.02292631
1992,8,0.00525726,0.02617,0,0.00525726,0.00108087,0.00417639
1992,9,-0.00431514,-0.00719,-0,-0.00431514,-0.00173233,-0.00258281
1992,10,0.00268304,-0.19372,0.00268304,0,0.01279864,-0.0101156
1992,11,-0.00918557,0.19022,-0.00918557,-0,-0.0158429,0.00665733
1992,12,-0.00961387,-0.07718,-0,-0.00961387,-0.0002423,-0.00937157
1993,1,0,0,0,0,0,0
1993,2,-0.00793754,-0.05131,-0,-0.00793754,-0.00093416,-0.00700338
1993,3,0.00885343,-0.0844,0.00885343,0,0.00941836,-0.00056493
1993,4,0,0,0,0,0,0
1993,5,-0.02382891,0.16628,-0.02382891,-0,-0.0217487,-0.00208021
1993,6,0,0,0,0,0,0
1993,7,0.00218926,0.31433,0,0.00218926,-0.01749569,0.01968495
1993,8,0.00268304,-0.05693,0.00268304,0,0.00470851,-0.00202547
1993,9,0.00317284,0.0022,0,0.00317284,0.00145631,0.00171653
1993,10,0,0,0,0,0,0
